côté avenue de Paris	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur B	Secteur 4
côté rue de Mersburg	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Pasteur (villa)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Paul Bert (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Paul Vaillant Couturier (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Peyronnet (allée)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Perrotin (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Petras (voie)					
côté rue des Fauvettes	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
côté rue Pierre Curie	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
"Peupliers (villa des)
Présentation sur l’avenue de Paris"	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur B	Secteur 4
Pierre Brossolette (rue)					
du n°1 au n°13 (côté impair)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
du n°2 au n°14 (côté pair)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
"du n°20 au n°80 et du n°110 au
n°126 (côté pair)"	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
"du n°21bis au n°65 et du n°69 au
n°83 (côté impair)"	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
"du n°82 au n°110 (côté pair), n°52
(crèche Les P’tits Loups) et n°67"	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Pierre Curie (impasse)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Pierre Curie (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Pierre Loti (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Pierre Semard (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Pierrelais (rue des)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
"n°1, 9, 15, 31 et 33"	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Pierrettes (rue des)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
"du n°52 au n°60 (côté pair) et n°39
(collège Paul Eluard)"	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Pierrier (passage du)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Plateau (rue du)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Plateau (sentier du)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Prévoyants (allée des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Pris-Pris (allée des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	"Secteur 1
Présentation sur la rue
Pierre Brossolette"
Progrès (allée du)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Rameau (allée)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Ravel (allée)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Renée (allée)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
République (avenue de la)					
du n°1 au n°19 (côté impair)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
du n°21 au 25 (côté impair)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
"du n°35 au n°149 et du n°157 au
n°185 (côté impair)"	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
du n°2 au n°36 (côté pair)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
du n°40 au n°220 (côté pair)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
du n°151 au n° 155 (côté impair)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Roissys (rue des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
